bike_id,lat,lon,is_reserved,is_disabled,vehicle_type_id
f021938b-5b87-4988-afc4-f83080ca5b60,43.63543,3.871179,False,False,14
e623ed90-392c-437c-ad69-7845110506de,43.558351,3.963412,False,False,14
dc7499e1-9c6a-4467-8b01-adb4f1eb5b38,43.60032,3.89851,False,False,14
aaef5aa9-114c-4aac-baaa-6d9e8f9e537b,43.607859,3.886644,False,False,14
dcf05c93-8ed9-4ba7-b399-243881b8e52b,43.584211,3.860031,False,False,14
34d4fefd-11a6-452d-8b7b-a9da85d98b56,43.590757,3.890616,False,False,14
46b2acb5-0d71-46f1-948d-6aca98b7af12,43.558351,3.963412,False,False,14
ac4160fa-d33d-4cff-94aa-9091b642f94a,43.609857,3.883884,False,False,14
360a5696-a028-4840-bbdd-473ba6633316,43.626163,3.882492,False,True,14
e9446b85-0e04-45ba-9b32-42a12920b171,43.588239,3.853421,False,False,14
f2cc947d-3d46-42b2-8822-af1328746f0d,43.614005,3.873218,False,False,14
99cbd479-8b81-461e-b3cf-693df6a08e6c,43.599652,3.881954,False,False,14
2a2eedfe-89bc-4f08-854b-272c21553e34,43.608218,3.89314,False,False,14
f942f050-2b21-4a31-95a5-9ee362d285f3,43.635689,3.849597,False,False,14
c0950c77-26df-4e36-ab60-5fcc6cd53012,43.615155,3.839466,False,False,14
a87db14a-e7fb-4d9c-b660-7e7cd57f1fc3,43.599652,3.881954,False,False,14
d94d110b-58d9-40e1-977e-25f6de0adc12,43.558351,3.963412,False,False,14
e907980d-1dfb-4324-a1ea-b22155ab357d,43.60032,3.89851,False,False,14
7f453d0a-4fae-41f2-8a3c-a3851ee23dc2,43.608148,3.878778,False,False,14
2b91f55f-6f48-4169-888e-26f905c18f86,43.599817,3.875757,False,False,14
f44fe815-51ab-4dc8-b446-efa2f8c891fe,43.608148,3.878778,False,False,14
fe3162e6-3bdc-4f2e-a6db-aa5dca5669f1,43.608218,3.89314,False,False,14
3fb8da9c-5fd5-4264-a7f7-5c8519c609f4,43.558351,3.963412,False,False,14
34c2dd20-f321-4781-9279-ed390ddcabd1,43.558351,3.963412,False,False,14
d3f02cb0-cf71-4db1-af2f-4c3350fe80df,43.607859,3.886644,False,False,14
e8c471b9-7c5a-4bcc-b198-ec585f8bfb7c,43.608491,3.868389,False,False,14
dba2e09d-d5b2-4f2f-b9f2-ecf9281ea1f4,43.607859,3.886644,False,False,14
cc15bb07-fb84-4742-b6fe-cda6f6d3787c,43.606036,3.882393,False,False,14
562a5ed8-9bfe-4b00-9491-661c50344c58,43.61467,3.832624,False,False,14
b6d19448-d95e-4429-917e-5a7231597ece,43.607859,3.886644,False,False,14
85c19ff4-ab17-4e98-a5ad-4e851931f1c6,43.608491,3.868389,False,False,14
ccff83c7-46b5-4d90-a451-49d785e514b9,43.631318,3.861299,False,False,14
7a783ccf-72d6-4420-8b6b-b83f736f1a02,43.616698,3.884981,False,False,14
44391daf-7d63-4390-8c9f-b9992781189d,43.614642,3.877648,False,False,14
f6a855e1-825e-4407-852b-14a051d54ac5,43.608996,3.872752,False,False,14
abb0253e-dc71-45d6-9f86-c4314b6615fd,43.615155,3.839466,False,False,14
f830aad1-aca4-44dd-b736-60f5e6887a8e,43.612659,3.867734,False,False,14
a1c25cea-3a61-43b9-b5d7-ac0e23095060,43.605366,3.881346,False,False,14
a396df45-70ba-4b92-b888-a93acec78e9a,43.633679,3.832861,False,False,14
693ddd05-0b2c-455b-8a68-28b796ae7b19,43.599088,3.894866,False,False,14
c0d16684-ae17-4690-b4b6-bb1ffb5378c4,43.626163,3.882492,False,False,14
4e22e688-dd3e-44a6-ab07-9af38d072f0b,43.608218,3.89314,False,False,14
bf2e4910-9c18-4d0f-afb5-a62ff3b13257,43.558351,3.963412,False,False,14
7ecce86f-30b0-4193-aa72-ff870cfd5b40,43.635689,3.849597,False,False,14
3e2c993c-745e-4619-a0a8-fd847e53c780,43.59048,3.884611,False,False,14
9f668b0c-122e-4a7a-b592-a6da530236aa,43.606301,3.87724,False,False,14
eb4df63b-0202-4470-8a73-2c3c936d3a26,43.558351,3.963412,False,False,14
10fc2329-c92e-4c6b-a970-a1adfa40d8d5,43.616768,3.873375,False,False,14
ecc5706e-7523-433f-acdf-8e9048706700,43.612659,3.867734,False,False,14
ffaae077-5b1d-4960-a7f0-29f7986b09af,43.558351,3.963412,False,False,14
9d53ab3b-195f-4b67-85c9-848e085a5b20,43.619871,3.873812,False,False,14
b1107463-f633-4851-aef4-e47f556ae14c,43.618692,3.893844,False,False,14
ef23c4ad-ece8-4ac2-a46c-d00aab33f871,43.599652,3.881954,False,False,14
c3e5c6e2-0368-460c-85df-6ad58809ed80,43.60585,3.911576,False,False,14
d4552f56-404b-489b-99da-c57b4f67d674,43.59048,3.884611,False,False,14
f03c3d2a-c8d9-42e9-b51a-36bc86844547,43.599817,3.875757,False,False,14
f2dcf529-5a09-42e0-bc34-50a21ebfa07f,43.558351,3.963412,False,False,14
4e1a9559-a9ff-484f-80f8-f0281b107960,43.621983,3.855603,False,False,14
b62080a6-35f0-426d-9f2a-8dc78f7b5c4f,43.584211,3.860031,False,False,14
1a1e8da2-e2ec-4639-84e7-7214d44c400f,43.603889,3.879362,False,False,14
1332e74b-86b6-49e6-904e-1a7d42fa427f,43.558351,3.963412,False,False,14
4d833c83-d44b-4800-817c-f5e456994093,43.626163,3.882492,False,False,14
