station_id,nom,lat,lon,velos_dispo,nb_places_dispo,commune,etat,ville,nb_emprunts,usage_score,cluster
34,Place Catinat,50.63413,3.041209,9,11,Lille,EN SERVICE,Lille,23819.0,0.42629082774049215,0
34,Place Catinat,50.63413,3.041209,9,11,Lille,EN SERVICE,Lille,4216.0,0.07545413870246084,0
35,Leclerc,50.629207,3.043971,7,21,Lille,EN SERVICE,Lille,28588.0,0.5116420581655481,0
35,Leclerc,50.629207,3.043971,7,21,Lille,EN SERVICE,Lille,5714.0,0.10226398210290828,0
36,Cormontaigne,50.62624,3.039911,8,28,Lille,EN SERVICE,Lille,43139.0,0.7720626398210291,0
36,Cormontaigne,50.62624,3.039911,8,28,Lille,EN SERVICE,Lille,8200.0,0.14675615212527965,0
37,Fulton,50.62337,3.037553,1,11,Lille,EN SERVICE,Lille,14965.0,0.26782997762863536,0
37,Fulton,50.62337,3.037553,1,11,Lille,EN SERVICE,Lille,2523.0,0.04515436241610738,0
38,Place Casquette,50.62429,3.045321,0,18,Lille,EN SERVICE,Lille,16734.0,0.29948993288590603,0
38,Place Casquette,50.62429,3.045321,0,18,Lille,EN SERVICE,Lille,2741.0,0.04905592841163311,0
39,Marche de Wazemmes,50.627674,3.050173,8,19,Lille,EN SERVICE,Lille,29850.0,0.5342281879194631,0
39,Marche de Wazemmes,50.627674,3.050173,8,19,Lille,EN SERVICE,Lille,4776.0,0.0854765100671141,0
41,Buisson,50.656487,3.088004,5,10,Lille,EN SERVICE,Lille,8654.0,0.15488143176733782,0
41,Buisson,50.656487,3.088004,5,10,Lille,EN SERVICE,Lille,1220.0,0.021834451901565997,0
42,Place Philippe Lebon,50.62789,3.06209,1,17,Lille,EN SERVICE,Lille,14065.0,0.25172259507829975,0
42,Place Philippe Lebon,50.62789,3.06209,1,17,Lille,EN SERVICE,Lille,4641.0,0.08306040268456376,0
43,Theatre Sebastopol,50.629044,3.058288,10,22,Lille,EN SERVICE,Lille,37689.0,0.6745234899328859,0
43,Theatre Sebastopol,50.629044,3.058288,10,22,Lille,EN SERVICE,Lille,6386.0,0.11429082774049217,0
44,Gambetta Utrecht,50.629063,3.053711,8,10,Lille,EN SERVICE,Lille,21614.0,0.38682774049217,0
44,Gambetta Utrecht,50.629063,3.053711,8,10,Lille,EN SERVICE,Lille,4130.0,0.07391498881431767,0
45,Brule Maison,50.62633,3.05659,5,13,Lille,EN SERVICE,Lille,20486.0,0.36663982102908277,0
45,Brule Maison,50.62633,3.05659,5,13,Lille,EN SERVICE,Lille,3347.0,0.05990156599552573,0
46,Artois,50.626279,3.061337,0,18,Lille,EN SERVICE,Lille,13918.0,0.2490917225950783,0
46,Artois,50.626279,3.061337,0,18,Lille,EN SERVICE,Lille,3026.0,0.05415659955257271,0
47,Boulevard Louis XIV,50.62816,3.069797,15,11,Lille,EN SERVICE,Lille,30678.0,0.5490469798657718,0
47,Boulevard Louis XIV,50.62816,3.069797,15,11,Lille,EN SERVICE,Lille,5164.0,0.09242058165548099,0
48,Porte de Douai,50.61843,3.07241,17,9,Lille,EN SERVICE,Lille,16692.0,0.29873825503355705,0
48,Porte de Douai,50.61843,3.07241,17,9,Lille,EN SERVICE,Lille,2838.0,0.050791946308724835,0
