id_local,code_com,coordonneesxy,capacite,capacite_cargo,type_accroche,mobilier,mobilier_complement,acces,gratuit,protection,couverture,date_maj,materiaux,coloris,nom_comm
1453,34172,"[3.8654265000010994,43.59666561174449]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1918,34172,"[3.8683942937363565,43.64447385312513]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2347,34172,"[3.923547448238327,43.59566611993089]",20,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
199,34172,"[3.9016362115767897,43.601740816736715]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
402,34172,"[3.886127099999999,43.61289410002313]",20,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2275,34172,"[3.8706142215369925,43.602592211572535]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1,34172,"[3.8825564,43.62619850002311]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
988,34172,"[3.835241083674216,43.63557494619625]",20,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2251,34172,"[3.8821152447638614,43.6140850975796]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2492,34172,"[3.823120760666142,43.632396000336136]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1995,34172,"[3.8831833300252945,43.605737160619796]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1837,34172,"[3.892640205833152,43.6070473757641]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2239,34172,"[3.8691462512960846,43.601880427470135]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1283,34172,"[3.8673908673177717,43.60830410713007]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
631,34172,"[3.8816079022169254,43.618452541161574]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
174,34172,"[3.876191110313718,43.613128373648706]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2533,34057,"[3.9166321350540194,43.619141679170106]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2558,34057,"[3.899526475348311,43.63219578427457]",12,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1446,34172,"[3.870380400001305,43.59474019093527]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,false,,INOX,,Montpellier
2152,34172,"[3.8702427664258328,43.61562677522166]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2547,34057,"[3.899641462546883,43.62749141044805]",18,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2548,34057,"[3.89774274154562,43.62892559780276]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2065,34172,"[3.8721336577120478,43.605622094327884]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
89,34172,"[3.863694199999999,43.61157090002313]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
803,34120,"[3.912415038703623,43.659515846238115]",12,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Jacou
1591,34120,"[3.911129070586665,43.66127048914635]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Jacou
2406,34172,"[3.881617017035783,43.60694944829642]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1421,34172,"[3.898323081250618,43.60590931835771]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1601,34172,"[3.8811836022097705,43.61710770370252]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
279,34172,"[3.8738499000975084,43.61515968907322]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1895,34172,"[3.819004043845323,43.63824522789832]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2112,34172,"[3.8328748534482764,43.61461656261396]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
234,34172,"[3.870166788245115,43.605111050731765]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
983,34123,"[3.80965096030521,43.61837869021983]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Juvignac
1456,34172,"[3.8747170846828984,43.604011014731945]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
