FID,objectid,code_insee,velo_plus,r_ppal,r_scdr,geom
sc_schema_cyclable_pm35_2023.1,1,00000,Oui,Oui,Non,"MULTILINESTRING ((704297.443374382 7056998.81438726, 704164.436999999 7056606.772, 704153.423 7056577.478, 704112.686999999 7056496.665))"
sc_schema_cyclable_pm35_2023.2,2,00000,Non,Oui,Non,"MULTILINESTRING ((704027.077500001 7056333.8008, 703782.752800003 7056480.4658, 703779.744000163 7056481.46699995, 703691.438000001 7056494.753, 703473.119000003 7056529.07, 703407.183899999 7056544.6262, 703403.719999999 7056545.37, 703400.701899998 7056546.2383, 703316.255000003 7056568.474, 703252.909000002 7056589.793, 703207.655000001 7056606.325, 703154.059 7056627.309, 703064.6197 7056675.894, 703064.189000003 7056676.128))"
sc_schema_cyclable_pm35_2023.3,3,00000,Oui,Oui,Non,"MULTILINESTRING ((705022.079355559 7060474.00432212, 705128.709100001 7060715.3172, 705131.524999998 7060746.865))"
sc_schema_cyclable_pm35_2023.4,4,59286,Oui,Oui,Non,"MULTILINESTRING ((700034.189020511 7056682.34072931, 700048.499700002 7056696.9784, 700136.703299999 7056839.6044, 700182.042099997 7056921.9288))"
sc_schema_cyclable_pm35_2023.5,5,00000,Oui,Oui,Non,"MULTILINESTRING ((703320.266451425 7061223.20470087, 703326.636920558 7061260.9308166, 703334.969531772 7061283.7815737, 703362.84213681 7061301.82311191, 703439.265699998 7061361.9994, 703449.401113809 7061369.97793602, 703462.804499999 7061380.529, 703473.719679207 7061384.3809404, 703483.316399999 7061387.7676, 703491.418399997 7061395.4485, 703491.464500003 7061395.4921, 703491.464686705 7061395.49228353, 703509.836400002 7061413.5517))"
sc_schema_cyclable_pm35_2023.6,6,59527,Oui,Oui,Non,"MULTILINESTRING ((703507.342 7061345.29, 703499.623999998 7061349.485, 703483.702 7061359.382, 703484.2152 7061365.1228, 703484.674000002 7061370.255, 703490.149999999 7061381.338, 703502.166000001 7061396.617, 703508.308716365 7061410.17888188, 703509.836400002 7061413.5517))"
sc_schema_cyclable_pm35_2023.7,7,59560,Oui,Oui,Non,"MULTILINESTRING ((702118.6624 7050318.9648, 702109.579700001 7050300.4336, 702096.050999999 7050274.396, 702082.987999998 7050253.626, 702049.645000003 7050202.393, 702023.653999999 7050162.228, 702005.851000004 7050128.866, 701959.329000004 7050043.734, 701916.142999999 7049968.201))"
sc_schema_cyclable_pm35_2023.8,8,59350,Oui,Oui,Non,"MULTILINESTRING ((703662.040015219 7060043.24786775, 703725.422807956 7060145.85599014))"
sc_schema_cyclable_pm35_2023.9,9,59560,Oui,Oui,Non,"MULTILINESTRING ((702324.549000002 7050942.597, 702315.848999999 7050906.281, 702309.839000002 7050877.068, 702308.137000002 7050868.33, 702299.442000002 7050832.514, 702290.866999999 7050796.195, 702282.383000001 7050755.749, 702262.680600003 7050674.8921, 702257.014361483 7050653.98114515, 702256.986900002 7050653.8798, 702251.689800002 7050634.3315, 702238.773999997 7050589.8, 702220.097999998 7050542.566, 702211.045000002 7050522.635, 702187.261085555 7050470.15792228))"
sc_schema_cyclable_pm35_2023.10,10,59560,Oui,Oui,Non,"MULTILINESTRING ((702187.261085555 7050470.15792228, 702186.428999998 7050468.322, 702175.463 7050444.409, 702169.719999999 7050431.453, 702163.578000002 7050415.623, 702148.660999999 7050383.364, 702143.185000002 7050372.156, 702125.3006 7050332.5084, 702118.6624 7050318.9648))"
sc_schema_cyclable_pm35_2023.11,11,59560,Non,Non,Oui,"MULTILINESTRING ((699933.965 7051329.57299886, 699896.504794562 7051277.83740995))"
sc_schema_cyclable_pm35_2023.12,12,00000,Non,Non,Oui,"MULTILINESTRING ((698012.270999999 7052716.97899886, 698021.43489669 7052706.98392173, 698105.716834591 7052627.81823331, 698243.471887493 7052485.71370939, 698243.471887494 7052485.71371053, 698406.667 7052506.43799886, 698406.705685566 7052506.40324827, 698407.317209312 7052505.85392682, 698451.940829954 7052465.76928251, 698512.858394193 7052418.56476304, 698590.078426188 7052358.72759539, 698595.608514588 7052350.12523566, 698605.868780892 7052334.1648214, 698606.224378994 7052333.6116688, 698616.905358177 7052301.90251185, 698625.360323061 7052276.80183485, 698635.875197085 7052266.75428856, 698646.005882531 7052257.0738558, 698679.180165749 7052225.37398517, 698700.708102824 7052207.43403761, 698726.422027664 7052193.68007781, 698846.619676335 7052175.142132, 698868.404595329 7052170.48581344, 698924.957447359 7052158.39818094, 698918.397732068 7052147.24666494, 698917.688718484 7052146.04134185, 698907.017499796 7052127.90027008, 698866.244168207 7052077.37679398, 698865.755620402 7052076.77141953, 698866.054619528 7052068.399444, 699156.580408651 7051843.7507445, 699162.228094276 7051839.38367872, 699094.400013112 7051754.35278154, 699090.303964062 7051749.21787694, 699093.293955322 7051741.14490054, 699552.417348238 7051477.19504634, 699837.801779177 7051313.12765161, 699892.855287295 7051280.03136869, 699896.504794562 7051277.83740995))"
sc_schema_cyclable_pm35_2023.13,13,00000,Non,Non,Oui,"MULTILINESTRING ((699896.504794562 7051277.83740995, 699733.280056092 7051052.41077732, 699684.823520757 7050997.34901911))"
sc_schema_cyclable_pm35_2023.14,14,59368,Non,Oui,Non,"MULTILINESTRING ((703986.804000001 7061966.11899888, 703993.510948697 7061962.31570622, 704020.687173243 7061983.17771152, 704033.550000001 7061988.92599888))"
sc_schema_cyclable_pm35_2023.15,15,59527,Oui,Oui,Non,"MULTILINESTRING ((703344.273000002 7061220.566, 703345.316009471 7061254.84788529, 703350.618458531 7061266.95470626, 703353.394432771 7061275.7819296, 703346.182800002 7061287.2319))"
sc_schema_cyclable_pm35_2023.16,16,59350,Non,Oui,Non,"MULTILINESTRING ((702625.447300002 7060314.1321, 702628.007565919 7060300.96294466, 702632.358026965 7060291.25052192, 702641.20264523 7060284.97764029, 702656.339228562 7060283.19136176, 702672.374332121 7060282.75063618, 702686.161699674 7060282.00996954, 702701.597951002 7060280.37341012, 702714.787850671 7060275.59727149, 702720.785480292 7060268.8747553, 702724.08485577 7060263.79491975))"
sc_schema_cyclable_pm35_2023.17,17,59368,Non,Oui,Non,"MULTILINESTRING ((704033.550000001 7061988.92599888, 704037.093099996 7061979.6049))"
sc_schema_cyclable_pm35_2023.18,18,59350,Non,Non,Oui,"MULTILINESTRING ((706401.806434184 7060740.8096571, 706418.112253699 7060739.95963933, 706475.370586337 7060774.94253708, 706510.054484958 7060799.01196673, 706564.472325898 7060858.51279281, 706624.870149359 7060947.31553325, 706701.1149265 7061011.30134622, 706743.273803273 7061094.42310326, 706804.163230231 7061199.01299238, 706800.73218873 7061202.28445055, 706800.971563718 7061208.58799192, 706804.522292713 7061212.25840841, 706804.248000001 7061338.94199888, 706805.505282949 7061509.08173159))"
sc_schema_cyclable_pm35_2023.19,19,00000,Non,Oui,Non,"MULTILINESTRING ((703912.487000001 7061873.87499888, 703912.517840104 7061873.91450591, 703950.042000001 7061921.98399888, 703947.774000001 7061932.76199888, 703950.219410909 7061935.66487279, 703965.361000001 7061953.63899888, 703972.055000001 7061948.76099888, 703981.585000001 7061950.68899888, 703986.804000001 7061966.11899888))"
