FID,objectid,mode_transport,libelle_arret_commercial,code_arret_physique,url_plan,code_insee,commune
cartographie_station.148,148,Metro,GARE LILLE EUROPE,EUR098,media.ilevia.fr/opendata/cartographie/Metro_7536_Gare Lille Europe.pdf,59350,Lille
cartographie_station.149,149,Metro,GARE LILLE EUROPE,EUR099,media.ilevia.fr/opendata/cartographie/Metro_7536_Gare Lille Europe.pdf,59350,Lille
cartographie_station.150,150,Metro,RÉPUBLIQUE BEAUX-ARTS,REP098,media.ilevia.fr/opendata/cartographie/Metro_773_République Beaux-Arts.pdf,59350,Lille
cartographie_station.151,151,Metro,RÉPUBLIQUE BEAUX-ARTS,REP099,media.ilevia.fr/opendata/cartographie/Metro_773_République Beaux-Arts.pdf,59350,Lille
cartographie_station.152,152,Metro,MADELEINE CAULIER,CIE098,media.ilevia.fr/opendata/cartographie/Metro_774_Caulier.pdf,59350,Lille
cartographie_station.153,153,Metro,MADELEINE CAULIER,CIE099,media.ilevia.fr/opendata/cartographie/Metro_774_Caulier.pdf,59350,Lille
cartographie_station.154,154,Metro,LILLE PORTE DE DOUAI,PDO098,media.ilevia.fr/opendata/cartographie/Metro_776_Lille Porte De Douai.pdf,59350,Lille
cartographie_station.155,155,Metro,LILLE PORTE DE DOUAI,PDO099,media.ilevia.fr/opendata/cartographie/Metro_776_Lille Porte De Douai.pdf,59350,Lille
cartographie_station.156,156,Metro,FIVES,DFI098,media.ilevia.fr/opendata/cartographie/Metro_778_Fives.pdf,59350,Lille
cartographie_station.157,157,Metro,FIVES,DFI099,media.ilevia.fr/opendata/cartographie/Metro_778_Fives.pdf,59350,Lille
cartographie_station.158,158,Metro,ROUBAIX GRAND PLACE,RXP098,media.ilevia.fr/opendata/cartographie/Metro_7903_Roubaix Grand Place.pdf,59512,Roubaix
cartographie_station.159,159,Metro,ROUBAIX GRAND PLACE,RXP099,media.ilevia.fr/opendata/cartographie/Metro_7903_Roubaix Grand Place.pdf,59512,Roubaix
cartographie_station.160,160,Metro,COLBERT,COB098,media.ilevia.fr/opendata/cartographie/Metro_7904_Colbert.pdf,59599,Tourcoing
cartographie_station.161,161,Metro,COLBERT,COB099,media.ilevia.fr/opendata/cartographie/Metro_7904_Colbert.pdf,59599,Tourcoing
cartographie_station.162,162,Metro,EPEULE MONTESQUIEU,EPL098,media.ilevia.fr/opendata/cartographie/Metro_7905_Epeule Montesquieu.pdf,59512,Roubaix
cartographie_station.163,163,Metro,EPEULE MONTESQUIEU,EPL099,media.ilevia.fr/opendata/cartographie/Metro_7905_Epeule Montesquieu.pdf,59512,Roubaix
cartographie_station.164,164,Metro,ST MAURICE PELLEVOISIN,SMP098,media.ilevia.fr/opendata/cartographie/Metro_797_St Maurice Pellevoisin.pdf,59350,Lille
cartographie_station.165,165,Metro,ST MAURICE PELLEVOISIN,SMP099,media.ilevia.fr/opendata/cartographie/Metro_797_St Maurice Pellevoisin.pdf,59350,Lille
cartographie_station.166,166,Metro,CORMONTAIGNE,COR098,media.ilevia.fr/opendata/cartographie/Metro_809_Cormontaigne.pdf,59350,Lille
cartographie_station.167,167,Metro,CORMONTAIGNE,COR099,media.ilevia.fr/opendata/cartographie/Metro_809_Cormontaigne.pdf,59350,Lille
cartographie_station.168,168,Metro,MARBRERIE,MRB099,media.ilevia.fr/opendata/cartographie/Metro_488_Marbrerie.pdf,59350,Lille
